reporting_year,geoid,boro_ct2020,vacant_on_12_31,count_vacant,perc_vacant,total_storefronts
2021 and 2022,36047023200,3023200,YES,2,0.06,36
2021 and 2022,36047023300,3023300,NO,15,0.94,16
2021 and 2022,36047023300,3023300,YES,1,0.06,16
2021 and 2022,36047023400,3023400,NO,37,0.95,39
2021 and 2022,36047023400,3023400,YES,2,0.05,39
2021 and 2022,36047023500,3023500,NO,13,0.81,16
2021 and 2022,36047023500,3023500,YES,3,0.19,16
2021 and 2022,36047023600,3023600,NO,28,1,28
2021 and 2022,36047023800,3023800,NO,9,0.82,11
2021 and 2022,36047023800,3023800,YES,2,0.18,11
2021 and 2022,36047024000,3024000,NO,4,1,4
2021 and 2022,36047024100,3024100,NO,14,0.88,16
2021 and 2022,36047024100,3024100,YES,2,0.12,16
2021 and 2022,36047024200,3024200,NO,7,0.78,9
2021 and 2022,36047024200,3024200,YES,2,0.22,9
2021 and 2022,36047024300,3024300,NO,19,0.83,23
2021 and 2022,36047024300,3024300,YES,4,0.17,23
2021 and 2022,36047024400,3024400,NO,11,1,11
2021 and 2022,36047024500,3024500,NO,15,0.71,21
2021 and 2022,36047024500,3024500,YES,6,0.29,21
2021 and 2022,36047024600,3024600,NO,5,0.83,6
2021 and 2022,36047024600,3024600,YES,1,0.17,6
2021 and 2022,36047024700,3024700,NO,52,0.98,53
2021 and 2022,36047024700,3024700,YES,1,0.02,53
2021 and 2022,36047024800,3024800,NO,24,0.83,29
2021 and 2022,36047024800,3024800,YES,5,0.17,29
2021 and 2022,36047024900,3024900,NO,11,0.69,16
2021 and 2022,36047024900,3024900,YES,5,0.31,16
2021 and 2022,36047025000,3025000,NO,15,0.88,17
2021 and 2022,36047025000,3025000,YES,2,0.12,17
2021 and 2022,36047025100,3025100,NO,6,0.86,7
2021 and 2022,36047025100,3025100,YES,1,0.14,7
2021 and 2022,36047025200,3025200,NO,39,0.91,43
2021 and 2022,36047025200,3025200,YES,4,0.09,43
2021 and 2022,36047025300,3025300,NO,10,0.83,12
2021 and 2022,36047025300,3025300,YES,2,0.17,12
2021 and 2022,36047025400,3025400,NO,18,0.95,19
2021 and 2022,36047025400,3025400,YES,1,0.05,19
2021 and 2022,36047025600,3025600,NO,19,0.86,22
2021 and 2022,36047025600,3025600,YES,3,0.14,22
2021 and 2022,36047025700,3025700,NO,16,0.84,19
2021 and 2022,36047025700,3025700,YES,3,0.16,19
2021 and 2022,36047025800,3025800,NO,24,0.96,25
2021 and 2022,36047025800,3025800,YES,1,0.04,25
2021 and 2022,36047025901,3025901,NO,6,0.75,8
2021 and 2022,36047025901,3025901,YES,2,0.25,8
2021 and 2022,36047026000,3026000,NO,17,0.94,18
2021 and 2022,36047026000,3026000,YES,1,0.06,18
2021 and 2022,36047026100,3026100,NO,14,0.82,17
2021 and 2022,36047026100,3026100,YES,3,0.18,17
2021 and 2022,36047026200,3026200,NO,3,1,3
2021 and 2022,36047026300,3026300,NO,1,1,1
2021 and 2022,36047026400,3026400,NO,27,0.9,30
2021 and 2022,36047026400,3026400,YES,3,0.1,30
2021 and 2022,36047026500,3026500,NO,6,0.86,7
2021 and 2022,36047026500,3026500,YES,1,0.14,7
2021 and 2022,36047026600,3026600,NO,14,1,14
2021 and 2022,36047026700,3026700,NO,1,0.5,2
2021 and 2022,36047026700,3026700,YES,1,0.5,2
2021 and 2022,36047026800,3026800,NO,8,1,8
2021 and 2022,36047026900,3026900,NO,23,0.96,24
2021 and 2022,36047026900,3026900,YES,1,0.04,24
2021 and 2022,36047027000,3027000,NO,4,1,4
2021 and 2022,36047027100,3027100,NO,13,0.93,14
2021 and 2022,36047027100,3027100,YES,1,0.07,14
2021 and 2022,36047027200,3027200,NO,10,0.62,16
2021 and 2022,36047027200,3027200,YES,6,0.38,16
2021 and 2022,36047027300,3027300,NO,18,0.86,21
2021 and 2022,36047027300,3027300,YES,3,0.14,21
2021 and 2022,36047027400,3027400,NO,16,0.84,19
2021 and 2022,36047027400,3027400,YES,3,0.16,19
2021 and 2022,36047027500,3027500,NO,29,0.97,30
2021 and 2022,36047027500,3027500,YES,1,0.03,30
2021 and 2022,36047027600,3027600,NO,40,0.95,42
2021 and 2022,36047027600,3027600,YES,2,0.05,42
2021 and 2022,36047027700,3027700,NO,7,0.7,10
2021 and 2022,36047027700,3027700,YES,3,0.3,10
2021 and 2022,36047027800,3027800,NO,49,0.98,50
2021 and 2022,36047027800,3027800,YES,1,0.02,50
2021 and 2022,36047027900,3027900,NO,7,0.88,8
2021 and 2022,36047027900,3027900,YES,1,0.12,8
2021 and 2022,36047028000,3028000,NO,19,0.9,21
2021 and 2022,36047028000,3028000,YES,2,0.1,21
2021 and 2022,36047028100,3028100,NO,27,0.96,28
2021 and 2022,36047028100,3028100,YES,1,0.04,28
2021 and 2022,36047028200,3028200,NO,12,0.86,14
2021 and 2022,36047028200,3028200,YES,2,0.14,14
2021 and 2022,36047028300,3028300,NO,19,0.9,21
2021 and 2022,36047028300,3028300,YES,2,0.1,21
2021 and 2022,36047028400,3028400,NO,39,1,39
2021 and 2022,36047028501,3028501,NO,5,0.71,7
2021 and 2022,36047028501,3028501,YES,2,0.29,7
2021 and 2022,36047028600,3028600,NO,10,1,10
2021 and 2022,36047028700,3028700,NO,12,1,12
2021 and 2022,36047028800,3028800,NO,59,0.97,61
2021 and 2022,36047028800,3028800,YES,2,0.03,61
2021 and 2022,36047028900,3028900,NO,11,0.92,12
2021 and 2022,36047028900,3028900,YES,1,0.08,12
2021 and 2022,36047029000,3029000,NO,39,0.98,40
2021 and 2022,36047029000,3029000,YES,1,0.03,40
2021 and 2022,36047029100,3029100,NO,8,1,8
2021 and 2022,36047029200,3029200,NO,17,1,17
2021 and 2022,36047029300,3029300,NO,5,1,5
2021 and 2022,36047029400,3029400,NO,15,0.79,19
2021 and 2022,36047029400,3029400,YES,4,0.21,19
2021 and 2022,36047029500,3029500,NO,20,0.95,21
2021 and 2022,36047029500,3029500,YES,1,0.05,21
2021 and 2022,36047029600,3029600,NO,46,0.96,48
2021 and 2022,36047029600,3029600,YES,2,0.04,48
2021 and 2022,36047029700,3029700,NO,2,0.67,3
2021 and 2022,36047029700,3029700,YES,1,0.33,3
2021 and 2022,36047029800,3029800,NO,24,0.89,27
2021 and 2022,36047029800,3029800,YES,3,0.11,27
2021 and 2022,36047029900,3029900,NO,6,1,6
2021 and 2022,36047030000,3030000,NO,32,1,32
2021 and 2022,36047030100,3030100,NO,15,1,15
2021 and 2022,36047030200,3030200,NO,1,1,1
2021 and 2022,36047030300,3030300,NO,11,0.85,13
2021 and 2022,36047030300,3030300,YES,2,0.15,13
2021 and 2022,36047030400,3030400,NO,8,1,8
2021 and 2022,36047030500,3030500,NO,24,0.86,28
2021 and 2022,36047030500,3030500,YES,4,0.14,28
2021 and 2022,36047030600,3030600,NO,7,1,7
2021 and 2022,36047030700,3030700,NO,5,1,5
2021 and 2022,36047030800,3030800,NO,3,1,3
2021 and 2022,36047030900,3030900,NO,16,1,16
2021 and 2022,36047031100,3031100,NO,10,1,10
2021 and 2022,36047031300,3031300,NO,4,0.8,5
2021 and 2022,36047031300,3031300,YES,1,0.2,5
2021 and 2022,36047031401,3031401,NO,7,0.88,8
2021 and 2022,36047031401,3031401,YES,1,0.12,8
2021 and 2022,36047031500,3031500,NO,33,0.94,35
2021 and 2022,36047031500,3031500,YES,2,0.06,35
2021 and 2022,36047031701,3031701,NO,15,1,15
2021 and 2022,36047031702,3031702,NO,17,1,17
2021 and 2022,36047031900,3031900,NO,14,0.82,17
2021 and 2022,36047031900,3031900,YES,3,0.18,17
2021 and 2022,36047032100,3032100,NO,25,0.86,29
2021 and 2022,36047032100,3032100,YES,4,0.14,29
2021 and 2022,36047032300,3032300,NO,13,1,13
2021 and 2022,36047032500,3032500,NO,11,0.61,18
2021 and 2022,36047032500,3032500,YES,7,0.39,18
2021 and 2022,36047032600,3032600,NO,26,0.65,40
2021 and 2022,36047032600,3032600,YES,14,0.35,40
2021 and 2022,36047032700,3032700,NO,29,0.97,30
2021 and 2022,36047032700,3032700,YES,1,0.03,30
2021 and 2022,36047032800,3032800,NO,7,1,7
2021 and 2022,36047032900,3032900,NO,28,0.8,35
2021 and 2022,36047032900,3032900,YES,7,0.2,35
2021 and 2022,36047033100,3033100,NO,24,1,24
2021 and 2022,36047033300,3033300,NO,16,0.94,17
2021 and 2022,36047033300,3033300,YES,1,0.06,17
2021 and 2022,36047033500,3033500,NO,4,1,4
2021 and 2022,36047033701,3033701,NO,3,1,3
2021 and 2022,36047033702,3033702,NO,7,1,7
2021 and 2022,36047033900,3033900,NO,15,0.94,16
2021 and 2022,36047033900,3033900,YES,1,0.06,16
2021 and 2022,36047034000,3034000,NO,1,1,1
2021 and 2022,36047034100,3034100,NO,1,1,1
2021 and 2022,36047034200,3034200,NO,24,0.96,25
2021 and 2022,36047034200,3034200,YES,1,0.04,25
2021 and 2022,36047034300,3034300,NO,8,1,8
2021 and 2022,36047034500,3034500,NO,18,0.9,20
2021 and 2022,36047034500,3034500,YES,2,0.1,20
2021 and 2022,36047034700,3034700,NO,7,0.78,9
2021 and 2022,36047034700,3034700,YES,2,0.22,9
2021 and 2022,36047034800,3034800,NO,44,1,44
2021 and 2022,36047034901,3034901,NO,14,0.82,17
2021 and 2022,36047034901,3034901,YES,3,0.18,17
2021 and 2022,36047034902,3034902,NO,15,0.94,16
2021 and 2022,36047034902,3034902,YES,1,0.06,16
2021 and 2022,36047035000,3035000,NO,11,0.73,15
2021 and 2022,36047035000,3035000,YES,4,0.27,15
2021 and 2022,36047035101,3035101,NO,32,0.89,36
2021 and 2022,36047035101,3035101,YES,4,0.11,36
2021 and 2022,36047035102,3035102,NO,35,0.81,43
2021 and 2022,36047035102,3035102,YES,8,0.19,43
2021 and 2022,36047035200,3035200,NO,15,0.83,18
2021 and 2022,36047035200,3035200,YES,3,0.17,18
2021 and 2022,36047035301,3035301,NO,7,0.78,9
2021 and 2022,36047035301,3035301,YES,2,0.22,9
2021 and 2022,36047035400,3035400,NO,30,0.86,35
2021 and 2022,36047035400,3035400,YES,5,0.14,35
2021 and 2022,36047035500,3035500,NO,43,0.98,44
2021 and 2022,36047035500,3035500,YES,1,0.02,44
2021 and 2022,36047035602,3035602,NO,12,0.8,15
2021 and 2022,36047035602,3035602,YES,3,0.2,15
2021 and 2022,36047035701,3035701,NO,3,0.6,5
2021 and 2022,36047035701,3035701,YES,2,0.4,5
2021 and 2022,36047035900,3035900,NO,11,1,11
2021 and 2022,36047036001,3036001,NO,25,1,25
2021 and 2022,36047036002,3036002,NO,36,0.95,38
2021 and 2022,36047036002,3036002,YES,2,0.05,38
2021 and 2022,36047036100,3036100,NO,13,0.87,15
2021 and 2022,36047036100,3036100,YES,2,0.13,15
2021 and 2022,36047036200,3036200,NO,70,0.85,82
2021 and 2022,36047036200,3036200,YES,12,0.15,82
2021 and 2022,36047036300,3036300,NO,13,0.93,14
2021 and 2022,36047036300,3036300,YES,1,0.07,14
2021 and 2022,36047036400,3036400,NO,12,1,12
2021 and 2022,36047036501,3036501,NO,2,1,2
2021 and 2022,36047036502,3036502,NO,6,0.86,7
2021 and 2022,36047036502,3036502,YES,1,0.14,7
2021 and 2022,36047036600,3036600,NO,15,0.94,16
2021 and 2022,36047036600,3036600,YES,1,0.06,16
2021 and 2022,36047036700,3036700,NO,6,1,6
2021 and 2022,36047036900,3036900,NO,9,0.82,11
2021 and 2022,36047036900,3036900,YES,2,0.18,11
2021 and 2022,36047037000,3037000,NO,6,1,6
2021 and 2022,36047037100,3037100,NO,1,0.25,4
2021 and 2022,36047037100,3037100,YES,3,0.75,4
2021 and 2022,36047037300,3037300,NO,18,0.95,19
2021 and 2022,36047037300,3037300,YES,1,0.05,19
2021 and 2022,36047037401,3037401,NO,3,1,3
2021 and 2022,36047037402,3037402,NO,16,1,16
2021 and 2022,36047037500,3037500,NO,12,0.75,16
2021 and 2022,36047037500,3037500,YES,4,0.25,16
2021 and 2022,36047037700,3037700,NO,15,0.83,18
2021 and 2022,36047037700,3037700,YES,3,0.17,18
2021 and 2022,36047037900,3037900,NO,7,0.88,8
2021 and 2022,36047037900,3037900,YES,1,0.12,8
2021 and 2022,36047038100,3038100,NO,7,1,7
2021 and 2022,36047038200,3038200,NO,6,1,6
2021 and 2022,36047038300,3038300,NO,7,0.88,8
2021 and 2022,36047038300,3038300,YES,1,0.12,8
2021 and 2022,36047038500,3038500,NO,3,0.6,5
2021 and 2022,36047038500,3038500,YES,2,0.4,5
2021 and 2022,36047038600,3038600,NO,24,0.96,25
2021 and 2022,36047038600,3038600,YES,1,0.04,25
2021 and 2022,36047038700,3038700,NO,17,0.94,18
2021 and 2022,36047038700,3038700,YES,1,0.06,18
2021 and 2022,36047038800,3038800,NO,10,1,10
2021 and 2022,36047038900,3038900,NO,34,1,34
2021 and 2022,36047039000,3039000,NO,2,1,2
2021 and 2022,36047039100,3039100,NO,13,0.65,20
2021 and 2022,36047039100,3039100,YES,7,0.35,20
2021 and 2022,36047039200,3039200,NO,27,1,27
2021 and 2022,36047039300,3039300,NO,15,0.79,19
2021 and 2022,36047039300,3039300,YES,4,0.21,19
2021 and 2022,36047039400,3039400,NO,26,0.96,27
2021 and 2022,36047039400,3039400,YES,1,0.04,27
2021 and 2022,36047039500,3039500,NO,21,0.88,24
2021 and 2022,36047039500,3039500,YES,3,0.12,24
2021 and 2022,36047039600,3039600,NO,7,0.7,10
2021 and 2022,36047039600,3039600,YES,3,0.3,10
2021 and 2022,36047039700,3039700,NO,23,0.92,25
2021 and 2022,36047039700,3039700,YES,2,0.08,25
2021 and 2022,36047039800,3039800,NO,24,0.92,26
2021 and 2022,36047039800,3039800,YES,2,0.08,26
2021 and 2022,36047039900,3039900,NO,2,1,2
2021 and 2022,36047040000,3040000,NO,27,0.96,28
2021 and 2022,36047040000,3040000,YES,1,0.04,28
2021 and 2022,36047040100,3040100,NO,15,0.83,18
2021 and 2022,36047040100,3040100,YES,3,0.17,18
2021 and 2022,36047040200,3040200,NO,30,1,30
2021 and 2022,36047040300,3040300,NO,7,0.7,10
2021 and 2022,36047040300,3040300,YES,3,0.3,10
2021 and 2022,36047040400,3040400,NO,14,0.78,18
2021 and 2022,36047040400,3040400,YES,4,0.22,18
2021 and 2022,36047040500,3040500,NO,11,1,11
2021 and 2022,36047040600,3040600,NO,2,0.67,3
2021 and 2022,36047040600,3040600,YES,1,0.33,3
2021 and 2022,36047040800,3040800,NO,14,0.78,18
2021 and 2022,36047040800,3040800,YES,4,0.22,18
2021 and 2022,36047040900,3040900,NO,8,0.89,9
2021 and 2022,36047040900,3040900,YES,1,0.11,9
2021 and 2022,36047041000,3041000,NO,1,1,1
2021 and 2022,36047041100,3041100,NO,7,1,7
2021 and 2022,36047041200,3041200,NO,21,0.95,22
2021 and 2022,36047041200,3041200,YES,1,0.05,22
2021 and 2022,36047041300,3041300,NO,1,1,1
2021 and 2022,36047041401,3041401,NO,3,1,3
2021 and 2022,36047041402,3041402,NO,3,0.75,4
2021 and 2022,36047041402,3041402,YES,1,0.25,4
2021 and 2022,36047041500,3041500,NO,3,0.5,6
2021 and 2022,36047041500,3041500,YES,3,0.5,6
2021 and 2022,36047041600,3041600,NO,4,1,4
2021 and 2022,36047041700,3041700,NO,8,0.89,9
2021 and 2022,36047041700,3041700,YES,1,0.11,9
2021 and 2022,36047041800,3041800,NO,39,0.93,42
2021 and 2022,36047041800,3041800,YES,3,0.07,42
2021 and 2022,36047041900,3041900,NO,1,1,1
2021 and 2022,36047042000,3042000,NO,19,0.95,20
2021 and 2022,36047042000,3042000,YES,1,0.05,20
2021 and 2022,36047042100,3042100,NO,14,0.82,17
2021 and 2022,36047042100,3042100,YES,3,0.18,17
2021 and 2022,36047042200,3042200,NO,34,0.87,39
2021 and 2022,36047042200,3042200,YES,5,0.13,39
2021 and 2022,36047042300,3042300,NO,14,0.88,16
2021 and 2022,36047042300,3042300,YES,2,0.12,16
2021 and 2022,36047042400,3042400,NO,13,0.81,16
2021 and 2022,36047042400,3042400,YES,3,0.19,16
2021 and 2022,36047042500,3042500,NO,9,0.9,10
2021 and 2022,36047042500,3042500,YES,1,0.1,10
2021 and 2022,36047042600,3042600,NO,22,0.96,23
2021 and 2022,36047042600,3042600,YES,1,0.04,23
2021 and 2022,36047042700,3042700,NO,30,0.86,35
2021 and 2022,36047042700,3042700,YES,5,0.14,35
2021 and 2022,36047042800,3042800,NO,11,0.85,13
2021 and 2022,36047042800,3042800,YES,2,0.15,13
2021 and 2022,36047042900,3042900,NO,58,0.97,60
2021 and 2022,36047042900,3042900,YES,2,0.03,60
2021 and 2022,36047043000,3043000,NO,15,0.83,18
2021 and 2022,36047043000,3043000,YES,3,0.17,18
2021 and 2022,36047043100,3043100,NO,55,0.89,62
2021 and 2022,36047043100,3043100,YES,7,0.11,62
2021 and 2022,36047043200,3043200,NO,23,0.96,24
2021 and 2022,36047043200,3043200,YES,1,0.04,24
2021 and 2022,36047043300,3043300,NO,22,0.96,23
2021 and 2022,36047043300,3043300,YES,1,0.04,23
2021 and 2022,36047043400,3043400,NO,14,0.93,15
2021 and 2022,36047043400,3043400,YES,1,0.07,15
2021 and 2022,36047043500,3043500,NO,15,0.88,17
2021 and 2022,36047043500,3043500,YES,2,0.12,17
2021 and 2022,36047043600,3043600,NO,25,1,25
2021 and 2022,36047043700,3043700,NO,8,1,8
2021 and 2022,36047043800,3043800,NO,19,0.86,22
2021 and 2022,36047043800,3043800,YES,3,0.14,22
2021 and 2022,36047043900,3043900,NO,40,0.95,42
2021 and 2022,36047043900,3043900,YES,2,0.05,42
2021 and 2022,36047044000,3044000,NO,7,0.78,9
2021 and 2022,36047044000,3044000,YES,2,0.22,9
2021 and 2022,36047044100,3044100,NO,33,0.92,36
2021 and 2022,36047044100,3044100,YES,3,0.08,36
2021 and 2022,36047044200,3044200,NO,7,0.88,8
2021 and 2022,36047044200,3044200,YES,1,0.12,8
2021 and 2022,36047044300,3044300,NO,20,0.74,27
2021 and 2022,36047044300,3044300,YES,7,0.26,27
2021 and 2022,36047044500,3044500,NO,31,0.94,33
2021 and 2022,36047044500,3044500,YES,2,0.06,33
2021 and 2022,36047044600,3044600,NO,7,1,7
2021 and 2022,36047044700,3044700,NO,39,0.89,44
2021 and 2022,36047044700,3044700,YES,5,0.11,44
2021 and 2022,36047044800,3044800,NO,5,1,5
2021 and 2022,36047044901,3044901,NO,17,1,17
2021 and 2022,36047044902,3044902,NO,29,0.97,30
2021 and 2022,36047044902,3044902,YES,1,0.03,30
2021 and 2022,36047045200,3045200,NO,1,1,1
2021 and 2022,36047045300,3045300,NO,45,0.88,51
2021 and 2022,36047045300,3045300,YES,6,0.12,51
2021 and 2022,36047045400,3045400,NO,22,0.79,28
2021 and 2022,36047045400,3045400,YES,6,0.21,28
2021 and 2022,36047045600,3045600,NO,17,0.89,19
2021 and 2022,36047045600,3045600,YES,2,0.11,19
2021 and 2022,36047045800,3045800,NO,1,1,1
2021 and 2022,36047046000,3046000,NO,8,1,8
2021 and 2022,36047046201,3046201,NO,10,1,10
2021 and 2022,36047046202,3046202,NO,9,1,9
2021 and 2022,36047046400,3046400,NO,5,1,5
2021 and 2022,36047047000,3047000,NO,1,0.5,2
2021 and 2022,36047047000,3047000,YES,1,0.5,2
2021 and 2022,36047047200,3047200,NO,4,1,4
2021 and 2022,36047047400,3047400,NO,19,1,19
2021 and 2022,36047047600,3047600,NO,29,1,29
2021 and 2022,36047047700,3047700,NO,12,1,12
2021 and 2022,36047047800,3047800,NO,25,0.96,26
2021 and 2022,36047047800,3047800,YES,1,0.04,26
2021 and 2022,36047048000,3048000,NO,17,1,17
2021 and 2022,36047048100,3048100,NO,17,0.81,21
2021 and 2022,36047048100,3048100,YES,4,0.19,21
2021 and 2022,36047048200,3048200,NO,4,1,4
2021 and 2022,36047048400,3048400,NO,15,1,15
2021 and 2022,36047048500,3048500,NO,69,0.87,79
2021 and 2022,36047048500,3048500,YES,10,0.13,79
2021 and 2022,36047048600,3048600,NO,17,0.94,18
2021 and 2022,36047048600,3048600,YES,1,0.06,18
2021 and 2022,36047048800,3048800,NO,12,1,12
2021 and 2022,36047049000,3049000,NO,11,1,11
2021 and 2022,36047049100,3049100,NO,91,0.88,104
2021 and 2022,36047049100,3049100,YES,13,0.12,104
2021 and 2022,36047049200,3049200,NO,14,0.93,15
2021 and 2022,36047049200,3049200,YES,1,0.07,15
2021 and 2022,36047049302,3049302,NO,38,0.97,39
2021 and 2022,36047049302,3049302,YES,1,0.03,39
2021 and 2022,36047049400,3049400,NO,15,1,15
2021 and 2022,36047049500,3049500,NO,49,0.84,58
2021 and 2022,36047049500,3049500,YES,9,0.16,58
2021 and 2022,36047049600,3049600,NO,32,0.97,33
2021 and 2022,36047049600,3049600,YES,1,0.03,33
2021 and 2022,36047049700,3049700,NO,34,0.92,37
2021 and 2022,36047049700,3049700,YES,3,0.08,37
2021 and 2022,36047049800,3049800,NO,6,1,6
2021 and 2022,36047049900,3049900,NO,9,1,9
2021 and 2022,36047050001,3050001,NO,1,1,1
2021 and 2022,36047050100,3050100,NO,21,0.88,24
2021 and 2022,36047050100,3050100,YES,3,0.12,24
2021 and 2022,36047050202,3050202,NO,9,1,9
2021 and 2022,36047050300,3050300,NO,16,1,16
2021 and 2022,36047050401,3050401,NO,6,1,6
2021 and 2022,36047050402,3050402,NO,7,1,7
2021 and 2022,36047050500,3050500,NO,22,0.88,25
2021 and 2022,36047050500,3050500,YES,3,0.12,25
2021 and 2022,36047050600,3050600,NO,17,0.94,18
2021 and 2022,36047050600,3050600,YES,1,0.06,18
2021 and 2022,36047050700,3050700,NO,22,0.79,28
2021 and 2022,36047050700,3050700,YES,6,0.21,28
2021 and 2022,36047050801,3050801,NO,32,0.94,34
2021 and 2022,36047050801,3050801,YES,2,0.06,34
2021 and 2022,36047050803,3050803,NO,16,1,16
2021 and 2022,36047050804,3050804,YES,1,1,1
2021 and 2022,36047050900,3050900,NO,6,1,6
2021 and 2022,36047051001,3051001,NO,10,0.91,11
2021 and 2022,36047051001,3051001,YES,1,0.09,11
2021 and 2022,36047051002,3051002,NO,47,0.96,49
2021 and 2022,36047051002,3051002,YES,2,0.04,49
2021 and 2022,36047051100,3051100,NO,19,0.95,20
2021 and 2022,36047051100,3051100,YES,1,0.05,20
2021 and 2022,36047051200,3051200,NO,1,1,1
2021 and 2022,36047051300,3051300,NO,50,0.81,62
2021 and 2022,36047051300,3051300,YES,12,0.19,62
2021 and 2022,36047051400,3051400,NO,10,0.83,12
2021 and 2022,36047051400,3051400,YES,2,0.17,12
2021 and 2022,36047051500,3051500,NO,19,1,19
2021 and 2022,36047051601,3051601,NO,7,1,7
2021 and 2022,36047051602,3051602,NO,13,0.81,16
2021 and 2022,36047051602,3051602,YES,3,0.19,16
2021 and 2022,36047051700,3051700,NO,30,0.88,34
2021 and 2022,36047051700,3051700,YES,4,0.12,34
2021 and 2022,36047051800,3051800,NO,13,1,13
2021 and 2022,36047051900,3051900,NO,47,0.87,54
2021 and 2022,36047051900,3051900,YES,7,0.13,54
2021 and 2022,36047052000,3052000,NO,29,0.94,31
2021 and 2022,36047052000,3052000,YES,2,0.06,31
2021 and 2022,36047052300,3052300,NO,40,0.82,49
2021 and 2022,36047052300,3052300,YES,9,0.18,49
2021 and 2022,36047052500,3052500,NO,56,0.97,58
2021 and 2022,36047052500,3052500,YES,2,0.03,58
2021 and 2022,36047052600,3052600,NO,26,0.93,28
2021 and 2022,36047052600,3052600,YES,2,0.07,28
2021 and 2022,36047052700,3052700,NO,33,0.89,37
2021 and 2022,36047052700,3052700,YES,4,0.11,37
2021 and 2022,36047052800,3052800,NO,9,1,9
2021 and 2022,36047052900,3052900,NO,13,0.81,16
2021 and 2022,36047052900,3052900,YES,3,0.19,16
2021 and 2022,36047053000,3053000,NO,26,0.96,27
2021 and 2022,36047053000,3053000,YES,1,0.04,27
2021 and 2022,36047053101,3053101,NO,4,1,4
2021 and 2022,36047053102,3053102,NO,18,1,18
2021 and 2022,36047053200,3053200,NO,4,1,4
2021 and 2022,36047053300,3053300,NO,38,1,38
2021 and 2022,36047053400,3053400,NO,27,0.87,31
2021 and 2022,36047053400,3053400,YES,4,0.13,31
2021 and 2022,36047053500,3053500,NO,22,0.96,23
2021 and 2022,36047053500,3053500,YES,1,0.04,23
2021 and 2022,36047053700,3053700,NO,7,1,7
2021 and 2022,36047053800,3053800,NO,42,0.98,43
2021 and 2022,36047053800,3053800,YES,1,0.02,43
2021 and 2022,36047054200,3054200,NO,10,0.91,11
2021 and 2022,36047054200,3054200,YES,1,0.09,11
2021 and 2022,36047054400,3054400,NO,2,1,2
2021 and 2022,36047054500,3054500,NO,1,1,1
2021 and 2022,36047054600,3054600,NO,6,0.86,7
2021 and 2022,36047054600,3054600,YES,1,0.14,7
2021 and 2022,36047054700,3054700,NO,3,1,3
2021 and 2022,36047054900,3054900,NO,38,0.83,46
2021 and 2022,36047054900,3054900,YES,8,0.17,46
2021 and 2022,36047055000,3055000,NO,14,1,14
2021 and 2022,36047055100,3055100,NO,50,0.77,65
2021 and 2022,36047055100,3055100,YES,15,0.23,65
2021 and 2022,36047055200,3055200,NO,53,0.88,60
2021 and 2022,36047055200,3055200,YES,7,0.12,60
2021 and 2022,36047055300,3055300,NO,99,0.93,106
2021 and 2022,36047055300,3055300,YES,7,0.07,106
2021 and 2022,36047055400,3055400,NO,81,0.86,94
2021 and 2022,36047055400,3055400,YES,13,0.14,94
2021 and 2022,36047055500,3055500,NO,121,0.84,144
2021 and 2022,36047055500,3055500,YES,23,0.16,144
2021 and 2022,36047055600,3055600,NO,5,0.83,6
2021 and 2022,36047055600,3055600,YES,1,0.17,6
2021 and 2022,36047055700,3055700,NO,27,0.71,38
2021 and 2022,36047055700,3055700,YES,11,0.29,38
2021 and 2022,36047056100,3056100,NO,70,0.88,80
2021 and 2022,36047056100,3056100,YES,10,0.12,80
2021 and 2022,36047056301,3056301,NO,34,0.87,39
2021 and 2022,36047056301,3056301,YES,5,0.13,39
2021 and 2022,36047056302,3056302,NO,9,0.53,17
2021 and 2022,36047056302,3056302,YES,8,0.47,17
2021 and 2022,36047056400,3056400,NO,11,0.85,13
2021 and 2022,36047056400,3056400,YES,2,0.15,13
2021 and 2022,36047056500,3056500,NO,50,0.93,54
2021 and 2022,36047056500,3056500,YES,4,0.07,54
2021 and 2022,36047056600,3056600,NO,5,0.83,6
2021 and 2022,36047056600,3056600,YES,1,0.17,6
2021 and 2022,36047056800,3056800,NO,6,0.86,7
2021 and 2022,36047056800,3056800,YES,1,0.14,7
2021 and 2022,36047056900,3056900,NO,46,0.85,54
2021 and 2022,36047056900,3056900,YES,8,0.15,54
2021 and 2022,36047057000,3057000,NO,43,0.91,47
2021 and 2022,36047057000,3057000,YES,4,0.09,47
2021 and 2022,36047057100,3057100,NO,41,0.91,45
2021 and 2022,36047057100,3057100,YES,4,0.09,45
2021 and 2022,36047057300,3057300,NO,15,1,15
2021 and 2022,36047057400,3057400,NO,11,1,11
2021 and 2022,36047057500,3057500,NO,38,0.9,42
2021 and 2022,36047057500,3057500,YES,4,0.1,42
2021 and 2022,36047057600,3057600,NO,23,0.85,27
2021 and 2022,36047057600,3057600,YES,4,0.15,27
2021 and 2022,36047057800,3057800,NO,56,0.93,60
2021 and 2022,36047057800,3057800,YES,4,0.07,60
2021 and 2022,36047057901,3057901,NO,22,0.92,24
2021 and 2022,36047057901,3057901,YES,2,0.08,24
2021 and 2022,36047057902,3057902,NO,1,1,1
2021 and 2022,36047058000,3058000,NO,28,1,28
2021 and 2022,36047058200,3058200,NO,32,0.91,35
2021 and 2022,36047058200,3058200,YES,3,0.09,35
2021 and 2022,36047058400,3058400,NO,11,1,11
